,Date,Province_Id,Daily_Total,Daily_100k,N_Day_Rate,NDR_Change,NDRC_Sliding_Window
1436,2020-04-18,30,18,1.414440494488397,64.69693507373064,0.9024707019311485,0.9890384240600513
2166,2020-04-18,40,312.0,7.1303643136235895,54.26463489463343,0.6772249171440495,0.9733700123964534
2167,2020-04-19,40,221.0,5.050674722150043,49.00968050293315,0.9031606053942146,1.0282781722841186
1437,2020-04-19,30,15,1.1787004120736642,45.473579266712164,0.7028706879991928,1.0167131281232875
707,2020-04-19,20,84.0,7.527589961421102,41.02581377832954,0.543604111076192,0.9851917929521937
49,2020-04-19,10,122,6.139384149317874,37.402570673814076,0.469035942046773,0.9888612588697107
50,2020-04-20,10,310,15.600074477774927,44.041228530849594,1.177492020934361,1.0595239175139233
708,2020-04-20,20,86.0,7.706818293835889,50.333606330197085,1.2268764881096414,1.0492957289123974
1438,2020-04-20,30,40,3.143201098863104,46.3464431154366,1.0191949668972593,1.0328072728704314
2168,2020-04-20,40,436.0,9.964227053653477,51.25999544694004,1.0459157236063232,1.0396736238134712
1439,2020-04-21,30,42,3.30036115380626,53.38165618867263,1.1517961811160609,1.0352838601459766
2169,2020-04-21,40,331.0,7.5645852173378465,53.41865144458938,1.0421119038116926,1.036456186551839
51,2020-04-21,10,196,9.863272895625437,57.14254019089694,1.2974783423870717,1.034659302902428
709,2020-04-21,20,93.0,8.334117457287649,49.87658317040966,0.9909201189203636,1.0445724170448372
52,2020-04-22,10,139,6.9948721045506925,49.16463698112447,0.8603859194372429,0.9636490815508179
710,2020-04-22,20,77.0,6.900290797969343,52.9217266802307,1.0610535709596811,0.9754941699419412
1440,2020-04-22,30,22,1.7287606043747072,44.68626023095194,0.8371089138375999,0.9321817718662805
2170,2020-04-22,40,238.0,5.43918816231543,46.825087239461105,0.8765681269215919,0.9281032969398967
2171,2020-04-23,40,397.0,9.072931514450529,48.333433536573786,1.032212354232232,0.9209415326892846
53,2020-04-23,10,278,13.989744209101385,52.45990485004974,1.0670251642494668,0.9725150888304748
711,2020-04-23,20,103.0,9.230259119361587,53.356046512123676,1.0082068341140356,0.989718933892712
1441,2020-04-23,30,16,1.2572804395452417,47.61845484711822,1.0656173642862892,0.9306813779048332
712,2020-04-24,20,47.0,4.211865811747521,44.930029860896404,0.8420794417496301,0.9397272917890256
1442,2020-04-24,30,25,1.9645006867894401,45.16576994331113,0.9484929758497714,0.946793113131046
54,2020-04-24,10,149,7.4981003135111735,47.22468209450688,0.9002052563666079,0.9692465253242343
2172,2020-04-24,40,221.0,5.050674722150043,43.20242530220639,0.8938414290289397,0.9244335800198634
2173,2020-04-25,40,177.0,4.045110524074921,33.257791617179926,0.7698130691630735,0.9376604588797238
1443,2020-04-25,30,14,1.1001203846020866,25.127652882420428,0.5563428435728843,0.8973462762227224
55,2020-04-25,10,110,5.535510298565296,29.405882741440482,0.6226803746945909,0.9134718600165878
713,2020-04-25,20,53.0,4.749550808991886,29.943567738684848,0.6664488724220813,0.9055984910502322
56,2020-04-26,10,44,2.214204119426119,30.193271171321527,1.0267765615745794,0.9931490913777028
