,Date,Province_Id,Work_Commute_Allowed,Leisure_Travel_Allowed,Holiday,Vacation
143,2020-08-05,20,1,1,0,1
144,2020-08-06,20,1,1,0,1
145,2020-08-07,20,1,1,0,1
146,2020-08-08,20,1,1,0,1
147,2020-08-09,20,1,1,0,1
148,2020-08-10,20,1,1,0,1
149,2020-08-11,20,1,1,0,1
150,2020-08-12,20,1,1,0,1
151,2020-08-13,20,1,1,0,1
152,2020-08-14,20,1,1,0,1
153,2020-08-15,20,1,1,0,1
154,2020-08-16,20,1,1,0,1
155,2020-08-17,20,1,1,0,1
156,2020-08-18,20,1,1,0,1
157,2020-08-19,20,1,1,0,1
158,2020-08-20,20,1,1,0,1
159,2020-08-21,20,1,1,0,1
160,2020-08-22,20,1,1,0,1
161,2020-08-23,20,1,1,0,1
162,2020-08-24,20,1,1,0,1
163,2020-08-25,20,1,1,0,1
164,2020-08-26,20,1,1,0,1
165,2020-08-27,20,1,1,0,1
166,2020-08-28,20,1,1,0,1
167,2020-08-29,20,1,1,0,1
168,2020-08-30,20,1,1,0,1
169,2020-08-31,20,1,1,0,1
170,2020-09-01,20,1,1,0,0
171,2020-09-02,20,1,1,0,0
172,2020-09-03,20,1,1,0,0
173,2020-09-04,20,1,1,0,0
174,2020-09-05,20,1,1,0,0
175,2020-09-06,20,1,1,0,0
176,2020-09-07,20,1,1,0,0
177,2020-09-08,20,1,1,0,0
178,2020-09-09,20,1,1,0,0
179,2020-09-10,20,1,1,0,0
180,2020-09-11,20,1,1,0,0
181,2020-09-12,20,1,1,0,0
182,2020-09-13,20,1,1,0,0
183,2020-09-14,20,1,1,0,0
184,2020-09-15,20,1,1,0,0
185,2020-09-16,20,1,1,0,0
186,2020-09-17,20,1,1,0,0
187,2020-09-18,20,1,1,0,0
188,2020-09-19,20,1,1,0,0
189,2020-09-20,20,1,1,0,0
190,2020-09-21,20,1,1,0,0
191,2020-09-22,20,1,1,0,0
192,2020-09-23,20,1,1,0,0
193,2020-09-24,20,1,1,0,0
194,2020-09-25,20,1,1,0,0
195,2020-09-26,20,1,1,0,0
196,2020-09-27,20,1,1,0,0
197,2020-09-28,20,1,1,0,0
198,2020-09-29,20,1,1,0,0
199,2020-09-30,20,1,1,0,0
200,2020-10-01,20,1,1,0,1
201,2020-10-02,20,1,1,0,1
202,2020-10-03,20,1,1,0,1
203,2020-10-04,20,1,1,0,1
204,2020-10-05,20,1,1,0,1
205,2020-10-06,20,1,1,0,1
